"","gdenr","gemeinde_f","value","pct_gde","top_names_table"
"660",2011,"Cugy (FR)",121,6.08,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Bersier $/td£ $td£ 121 $/td£  $td£ 6.08% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Grandgirard $/td£ $td£ 44 $/td£  $td£ 2.21% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Pillonel $/td£ $td£ 23 $/td£  $td£ 1.16% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Rey $/td£ $td£ 20 $/td£  $td£ 1.01% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Chuard $/td£ $td£ 19 $/td£  $td£ 0.96% $/td£ $/tr£¢ $/table£"
"661",2016,"Fétigny",47,3.95,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Renevey $/td£ $td£ 47 $/td£  $td£ 3.95% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Fontaine $/td£ $td£ 25 $/td£  $td£ 2.1% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Joye $/td£ $td£ 24 $/td£  $td£ 2.02% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Chardonnens $/td£ $td£ 19 $/td£  $td£ 1.6% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Vorlet $/td£ $td£ 19 $/td£  $td£ 1.6% $/td£ $/tr£¢ $/table£"
"662",2022,"Gletterens",38,3.35,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Dubey $/td£ $td£ 38 $/td£  $td£ 3.35% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Borgognon $/td£ $td£ 13 $/td£  $td£ 1.15% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Cantin $/td£ $td£ 12 $/td£  $td£ 1.06% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Guinnard $/td£ $td£ 12 $/td£  $td£ 1.06% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Viret $/td£ $td£ 12 $/td£  $td£ 1.06% $/td£ $/tr£¢ $/table£"
"663",2025,"Lully (FR)",54,4.45,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Pillonel $/td£ $td£ 54 $/td£  $td£ 4.45% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Riedo $/td£ $td£ 15 $/td£  $td£ 1.24% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Morinaj $/td£ $td£ 11 $/td£  $td£ 0.91% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Ducarroz $/td£ $td£ 10 $/td£  $td£ 0.82% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Bulliard $/td£ $td£ 9 $/td£  $td£ 0.74% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Marchand $/td£ $td£ 9 $/td£  $td£ 0.74% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Mulaj $/td£ $td£ 9 $/td£  $td£ 0.74% $/td£ $/tr£
¢ $/table£"
"664",2027,"Ménières",38,8.6,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Corminboeuf $/td£ $td£ 38 $/td£  $td£ 8.6% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Moret $/td£ $td£ 18 $/td£  $td£ 4.07% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Rey $/td£ $td£ 16 $/td£  $td£ 3.62% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Robert $/td£ $td£ 16 $/td£  $td£ 3.62% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Bise $/td£ $td£ 9 $/td£  $td£ 2.04% $/td£ $/tr£¢ $/table£"
"665",2029,"Montagny (FR)",70,2.32,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Joye $/td£ $td£ 70 $/td£  $td£ 2.32% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Francey $/td£ $td£ 64 $/td£  $td£ 2.12% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Gendre $/td£ $td£ 30 $/td£  $td£ 0.99% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Bugnon $/td£ $td£ 27 $/td£  $td£ 0.89% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Bersier $/td£ $td£ 26 $/td£  $td£ 0.86% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Renevey $/td£ $td£ 26 $/td£  $td£ 0.86% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Rossier $/td£ $td£ 26 $/td£  $td£ 0.86% $/td£ $/tr£
¢ $/table£"
"666",2035,"Nuvilly",29,5.88,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Broye $/td£ $td£ 29 $/td£  $td£ 5.88% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Losey $/td£ $td£ 14 $/td£  $td£ 2.84% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Baeriswyl $/td£ $td£ 9 $/td£  $td£ 1.83% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Christinaz $/td£ $td£ 9 $/td£  $td£ 1.83% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Crausaz $/td£ $td£ 7 $/td£  $td£ 1.42% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Morina $/td£ $td£ 7 $/td£  $td£ 1.42% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Trachsel $/td£ $td£ 7 $/td£  $td£ 1.42% $/td£ $/tr£§ 
$tr£ $td£ 5. $/td£ $td£ Waeber $/td£ $td£ 7 $/td£  $td£ 1.42% $/td£ $/tr£¢ $/table£"
"667",2038,"Prévondavaux",11,11.34,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Gerbex $/td£ $td£ 11 $/td£  $td£ 11.34% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ De Giuseppe $/td£ $td£ 6 $/td£  $td£ 6.19% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Losey $/td£ $td£ 6 $/td£  $td£ 6.19% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Andreae $/td£ $td£ 4 $/td£  $td£ 4.12% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Forestier $/td£ $td£ 4 $/td£  $td£ 4.12% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Fornerod $/td£ $td£ 4 $/td£  $td£ 4.12% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Grossenbacher $/td£ $td£ 4 $/td£  $td£ 4.12% $/td£ $/tr£§ 
$tr£ $td£ 4. $/td£ $td£ Simon $/td£ $td£ 4 $/td£  $td£ 4.12% $/td£ $/tr£¢ $/table£"
"668",2041,"Saint-Aubin (FR)",111,5.63,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Collaud $/td£ $td£ 111 $/td£  $td£ 5.63% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Guerry $/td£ $td£ 31 $/td£  $td£ 1.57% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Spahr $/td£ $td£ 27 $/td£  $td£ 1.37% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Verdon $/td£ $td£ 23 $/td£  $td£ 1.17% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Dessibourg $/td£ $td£ 22 $/td£  $td£ 1.12% $/td£ $/tr£¢ $/table£"
"669",2043,"Sévaz",12,3.82,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Losey $/td£ $td£ 12 $/td£  $td£ 3.82% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Michel $/td£ $td£ 7 $/td£  $td£ 2.23% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Berchier $/td£ $td£ 6 $/td£  $td£ 1.91% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Bossart $/td£ $td£ 6 $/td£  $td£ 1.91% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Dubey $/td£ $td£ 6 $/td£  $td£ 1.91% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Mahfoudh $/td£ $td£ 6 $/td£  $td£ 1.91% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Moret $/td£ $td£ 6 $/td£  $td£ 1.91% $/td£ $/tr£
¢ $/table£"
"670",2044,"Surpierre",43,3.5,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Thierrin $/td£ $td£ 43 $/td£  $td£ 3.5% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Torche $/td£ $td£ 35 $/td£  $td£ 2.85% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Crausaz $/td£ $td£ 22 $/td£  $td£ 1.79% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Jauquier $/td£ $td£ 15 $/td£  $td£ 1.22% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Maillard $/td£ $td£ 14 $/td£  $td£ 1.14% $/td£ $/tr£¢ $/table£"
"671",2045,"Vallon",17,3.28,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Ballaman $/td£ $td£ 17 $/td£  $td£ 3.28% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Baechler $/td£ $td£ 11 $/td£  $td£ 2.12% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Moser $/td£ $td£ 8 $/td£  $td£ 1.54% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Roth $/td£ $td£ 8 $/td£  $td£ 1.54% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Collaud $/td£ $td£ 7 $/td£  $td£ 1.35% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Zbinden $/td£ $td£ 7 $/td£  $td£ 1.35% $/td£ $/tr£¢ $/table£"
"672",2050,"Les Montets",88,5.45,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Volery $/td£ $td£ 88 $/td£  $td£ 5.45% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Rey $/td£ $td£ 45 $/td£  $td£ 2.79% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Pochon $/td£ $td£ 24 $/td£  $td£ 1.49% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Berchier $/td£ $td£ 18 $/td£  $td£ 1.12% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Pillonel $/td£ $td£ 18 $/td£  $td£ 1.12% $/td£ $/tr£¢ $/table£"
"673",2051,"Delley-Portalban",36,2.69,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Delley $/td£ $td£ 36 $/td£  $td£ 2.69% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Cuany $/td£ $td£ 24 $/td£  $td£ 1.79% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Jacot $/td£ $td£ 24 $/td£  $td£ 1.79% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Corminboeuf $/td£ $td£ 18 $/td£  $td£ 1.34% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Dubey $/td£ $td£ 14 $/td£  $td£ 1.05% $/td£ $/tr£¢ $/table£"
"674",2053,"Belmont-Broye",89,1.48,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Corminboeuf $/td£ $td£ 89 $/td£  $td£ 1.48% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Chardonnens $/td£ $td£ 76 $/td£  $td£ 1.26% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Ducry $/td£ $td£ 68 $/td£  $td£ 1.13% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Pochon $/td£ $td£ 56 $/td£  $td£ 0.93% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ da Silva $/td£ $td£ 52 $/td£  $td£ 0.87% $/td£ $/tr£¢ $/table£"
"675",2054,"Estavayer",142,1.38,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Marmy $/td£ $td£ 142 $/td£  $td£ 1.38% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Duc $/td£ $td£ 103 $/td£  $td£ 1% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Pillonel $/td£ $td£ 77 $/td£  $td£ 0.75% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Brasey $/td£ $td£ 68 $/td£  $td£ 0.66% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Roulin $/td£ $td£ 68 $/td£  $td£ 0.66% $/td£ $/tr£¢ $/table£"
"676",2055,"Cheyres-Châbles",53,2.15,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Pillonel $/td£ $td£ 53 $/td£  $td£ 2.15% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Monney $/td£ $td£ 37 $/td£  $td£ 1.5% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Chanez $/td£ $td£ 26 $/td£  $td£ 1.05% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Delley $/td£ $td£ 24 $/td£  $td£ 0.97% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Maendly $/td£ $td£ 19 $/td£  $td£ 0.77% $/td£ $/tr£¢ $/table£"
"677",2061,"Auboranges",24,8.39,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Crausaz $/td£ $td£ 24 $/td£  $td£ 8.39% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Gast $/td£ $td£ 8 $/td£  $td£ 2.8% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Cardinaux $/td£ $td£ 7 $/td£  $td£ 2.45% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Jaccoud $/td£ $td£ 7 $/td£  $td£ 2.45% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Bacchetta $/td£ $td£ 6 $/td£  $td£ 2.1% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Ducrest $/td£ $td£ 6 $/td£  $td£ 2.1% $/td£ $/tr£¢ $/table£"
"678",2063,"Billens-Hennens",26,2.86,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Bourqui $/td£ $td£ 26 $/td£  $td£ 2.86% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Demierre $/td£ $td£ 26 $/td£  $td£ 2.86% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Jorand $/td£ $td£ 23 $/td£  $td£ 2.53% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Sugnaux $/td£ $td£ 22 $/td£  $td£ 2.42% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Charrière $/td£ $td£ 15 $/td£  $td£ 1.65% $/td£ $/tr£¢ $/table£"
"679",2066,"Chapelle (Glâne)",17,4.87,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Monney $/td£ $td£ 17 $/td£  $td£ 4.87% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Auguet $/td£ $td£ 12 $/td£  $td£ 3.44% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Crausaz $/td£ $td£ 11 $/td£  $td£ 3.15% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Braillard $/td£ $td£ 10 $/td£  $td£ 2.87% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Gremaud $/td£ $td£ 8 $/td£  $td£ 2.29% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Menoud $/td£ $td£ 8 $/td£  $td£ 2.29% $/td£ $/tr£¢ $/table£"
"680",2067,"Le Châtelard",32,9.09,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Uldry $/td£ $td£ 32 $/td£  $td£ 9.09% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Roch $/td£ $td£ 31 $/td£  $td£ 8.81% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Rey $/td£ $td£ 24 $/td£  $td£ 6.82% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Oberson $/td£ $td£ 23 $/td£  $td£ 6.53% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Delabays $/td£ $td£ 15 $/td£  $td£ 4.26% $/td£ $/tr£¢ $/table£"
"681",2068,"Châtonnaye",18,2.08,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Page $/td£ $td£ 18 $/td£  $td£ 2.08% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Gillon $/td£ $td£ 15 $/td£  $td£ 1.73% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Péclat $/td£ $td£ 14 $/td£  $td£ 1.62% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Gremaud $/td£ $td£ 12 $/td£  $td£ 1.39% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Mondoux $/td£ $td£ 12 $/td£  $td£ 1.39% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Plancherel $/td£ $td£ 12 $/td£  $td£ 1.39% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Rey $/td£ $td£ 12 $/td£  $td£ 1.39% $/td£ $/tr£
¢ $/table£"
"682",2072,"Ecublens (FR)",17,4.2,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Dorthe $/td£ $td£ 17 $/td£  $td£ 4.2% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Godel $/td£ $td£ 17 $/td£  $td£ 4.2% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Vaucher $/td£ $td£ 16 $/td£  $td£ 3.95% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Baudois $/td£ $td£ 11 $/td£  $td£ 2.72% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Dougoud $/td£ $td£ 9 $/td£  $td£ 2.22% $/td£ $/tr£¢ $/table£"
"683",2079,"Grangettes",15,7.08,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Python $/td£ $td£ 15 $/td£  $td£ 7.08% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Menoud $/td£ $td£ 11 $/td£  $td£ 5.19% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Roch $/td£ $td£ 10 $/td£  $td£ 4.72% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Ramqaj $/td£ $td£ 6 $/td£  $td£ 2.83% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Uldry $/td£ $td£ 6 $/td£  $td£ 2.83% $/td£ $/tr£¢ $/table£"
"684",2086,"Massonnens",23,3.8,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Chammartin $/td£ $td£ 23 $/td£  $td£ 3.8% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Gobet $/td£ $td£ 20 $/td£  $td£ 3.3% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Bugnon $/td£ $td£ 13 $/td£  $td£ 2.15% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Perroud $/td£ $td£ 13 $/td£  $td£ 2.15% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Morel $/td£ $td£ 12 $/td£  $td£ 1.98% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Schaller $/td£ $td£ 12 $/td£  $td£ 1.98% $/td£ $/tr£¢ $/table£"
"685",2087,"Mézières (FR)",33,2.88,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Morel $/td£ $td£ 33 $/td£  $td£ 2.88% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Dumas $/td£ $td£ 30 $/td£  $td£ 2.62% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Pittet $/td£ $td£ 24 $/td£  $td£ 2.09% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Bard $/td£ $td£ 17 $/td£  $td£ 1.48% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Perroud $/td£ $td£ 16 $/td£  $td£ 1.4% $/td£ $/tr£¢ $/table£"
"686",2089,"Montet (Glâne)",25,4.7,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Demierre $/td£ $td£ 25 $/td£  $td£ 4.7% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Cardoso $/td£ $td£ 7 $/td£  $td£ 1.32% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Deillon $/td£ $td£ 6 $/td£  $td£ 1.13% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Keck $/td£ $td£ 6 $/td£  $td£ 1.13% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Kucina $/td£ $td£ 6 $/td£  $td£ 1.13% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Monnin $/td£ $td£ 6 $/td£  $td£ 1.13% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Perret $/td£ $td£ 6 $/td£  $td£ 1.13% $/td£ $/tr£§ 
$tr£ $td£ 3. $/td£ $td£ Wyss $/td£ $td£ 6 $/td£  $td£ 1.13% $/td£ $/tr£¢ $/table£"
"687",2096,"Romont (FR)",61,1.04,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ da Silva $/td£ $td£ 61 $/td£  $td£ 1.04% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Gomes $/td£ $td£ 58 $/td£  $td£ 0.98% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Pittet $/td£ $td£ 55 $/td£  $td£ 0.93% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Ferreira $/td£ $td£ 44 $/td£  $td£ 0.75% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ dos Santos $/td£ $td£ 36 $/td£  $td£ 0.61% $/td£ $/tr£¢ $/table£"
"688",2097,"Rue",36,2.26,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Bosson $/td£ $td£ 36 $/td£  $td£ 2.26% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Crausaz $/td£ $td£ 26 $/td£  $td£ 1.63% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Favre $/td£ $td£ 18 $/td£  $td£ 1.13% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Perroud $/td£ $td£ 17 $/td£  $td£ 1.07% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Conus $/td£ $td£ 16 $/td£  $td£ 1.01% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Pittet $/td£ $td£ 16 $/td£  $td£ 1.01% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Périsset $/td£ $td£ 16 $/td£  $td£ 1.01% $/td£ $/tr£
¢ $/table£"
