"","gdenr","gemeinde_d","value","pct_gde","top_names_table"
"269",501,"Tschugg",10,2.11,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Garo $/td£ $td£ 10 $/td£  $td£ 2.11% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Bönzli $/td£ $td£ 7 $/td£  $td£ 1.48% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Ritter $/td£ $td£ 7 $/td£  $td£ 1.48% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Studer $/td£ $td£ 7 $/td£  $td£ 1.48% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Diessel $/td£ $td£ 6 $/td£  $td£ 1.27% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Maeder $/td£ $td£ 6 $/td£  $td£ 1.27% $/td£ $/tr£¢ $/table£"
"270",502,"Vinelz",35,3.94,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Gutmann $/td£ $td£ 35 $/td£  $td£ 3.94% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schneider $/td£ $td£ 20 $/td£  $td£ 2.25% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Meuter $/td£ $td£ 15 $/td£  $td£ 1.69% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Bloch $/td£ $td£ 14 $/td£  $td£ 1.58% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Studer $/td£ $td£ 12 $/td£  $td£ 1.35% $/td£ $/tr£¢ $/table£"
"271",533,"Bätterkinden",39,1.16,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Knuchel $/td£ $td£ 39 $/td£  $td£ 1.16% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schneider $/td£ $td£ 34 $/td£  $td£ 1.01% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 28 $/td£  $td£ 0.83% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Marti $/td£ $td£ 23 $/td£  $td£ 0.68% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Althaus $/td£ $td£ 21 $/td£  $td£ 0.62% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Steiner $/td£ $td£ 21 $/td£  $td£ 0.62% $/td£ $/tr£¢ $/table£"
"272",535,NA,7,7.95,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Stucki $/td£ $td£ 7 $/td£  $td£ 7.95% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ König $/td£ $td£ 6 $/td£  $td£ 6.82% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Bühlmann $/td£ $td£ 5 $/td£  $td£ 5.68% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Rufer $/td£ $td£ 5 $/td£  $td£ 5.68% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Hüsser $/td£ $td£ 4 $/td£  $td£ 4.55% $/td£ $/tr£¢ $/table£"
"273",536,NA,13,6.34,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Vogt $/td£ $td£ 13 $/td£  $td£ 6.34% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Walther $/td£ $td£ 13 $/td£  $td£ 6.34% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Münger $/td£ $td£ 8 $/td£  $td£ 3.9% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Minder $/td£ $td£ 6 $/td£  $td£ 2.93% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Weibel $/td£ $td£ 6 $/td£  $td£ 2.93% $/td£ $/tr£¢ $/table£"
"274",538,"Fraubrunnen",72,1.33,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Marti $/td£ $td£ 72 $/td£  $td£ 1.33% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Messer $/td£ $td£ 58 $/td£  $td£ 1.07% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Studer $/td£ $td£ 49 $/td£  $td£ 0.91% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Glauser $/td£ $td£ 46 $/td£  $td£ 0.85% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Kunz $/td£ $td£ 44 $/td£  $td£ 0.81% $/td£ $/tr£¢ $/table£"
"275",540,"Jegenstorf",50,0.86,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 50 $/td£  $td£ 0.86% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Moser $/td£ $td£ 34 $/td£  $td£ 0.59% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Iseli $/td£ $td£ 31 $/td£  $td£ 0.54% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Schneider $/td£ $td£ 31 $/td£  $td£ 0.54% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Wyss $/td£ $td£ 30 $/td£  $td£ 0.52% $/td£ $/tr£¢ $/table£"
"276",541,"Iffwil",28,6.48,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ König $/td£ $td£ 28 $/td£  $td£ 6.48% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Gerber $/td£ $td£ 15 $/td£  $td£ 3.47% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Junker $/td£ $td£ 12 $/td£  $td£ 2.78% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Ledermann $/td£ $td£ 11 $/td£  $td£ 2.55% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Ingold $/td£ $td£ 9 $/td£  $td£ 2.08% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Riem $/td£ $td£ 9 $/td£  $td£ 2.08% $/td£ $/tr£¢ $/table£"
"277",543,"Mattstetten",10,1.7,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Meyer $/td£ $td£ 10 $/td£  $td£ 1.7% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Aeberhard $/td£ $td£ 9 $/td£  $td£ 1.53% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schneider $/td£ $td£ 9 $/td£  $td£ 1.53% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Steiner $/td£ $td£ 9 $/td£  $td£ 1.53% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Schlup $/td£ $td£ 7 $/td£  $td£ 1.19% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Schmid $/td£ $td£ 7 $/td£  $td£ 1.19% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Wenger $/td£ $td£ 7 $/td£  $td£ 1.19% $/td£ $/tr£
¢ $/table£"
"278",544,"Moosseedorf",35,0.85,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Peric $/td£ $td£ 35 $/td£  $td£ 0.85% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Müller $/td£ $td£ 28 $/td£  $td£ 0.68% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Berger $/td£ $td£ 22 $/td£  $td£ 0.53% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Meier $/td£ $td£ 22 $/td£  $td£ 0.53% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Gerber $/td£ $td£ 20 $/td£  $td£ 0.49% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Hänni $/td£ $td£ 20 $/td£  $td£ 0.49% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Lüthi $/td£ $td£ 20 $/td£  $td£ 0.49% $/td£ $/tr£§ 
$tr£ $td£ 5. $/td£ $td£ Weber $/td£ $td£ 20 $/td£  $td£ 0.49% $/td£ $/tr£¢ $/table£"
"279",546,"Münchenbuchsee",71,0.7,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 71 $/td£  $td£ 0.7% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Gerber $/td£ $td£ 54 $/td£  $td£ 0.53% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Zürcher $/td£ $td£ 52 $/td£  $td£ 0.51% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schneider $/td£ $td£ 40 $/td£  $td£ 0.39% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Moser $/td£ $td£ 37 $/td£  $td£ 0.36% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Steiner $/td£ $td£ 37 $/td£  $td£ 0.36% $/td£ $/tr£¢ $/table£"
"280",551,"Urtenen-Schönbühl",46,0.72,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Gerber $/td£ $td£ 46 $/td£  $td£ 0.72% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Zbinden $/td£ $td£ 29 $/td£  $td£ 0.45% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Marti $/td£ $td£ 27 $/td£  $td£ 0.42% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 27 $/td£  $td£ 0.42% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Keller $/td£ $td£ 25 $/td£  $td£ 0.39% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Lehmann $/td£ $td£ 25 $/td£  $td£ 0.39% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Lüthi $/td£ $td£ 25 $/td£  $td£ 0.39% $/td£ $/tr£
¢ $/table£"
"281",552,"Utzenstorf",41,0.92,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Weber $/td£ $td£ 41 $/td£  $td£ 0.92% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Wüthrich $/td£ $td£ 39 $/td£  $td£ 0.87% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Siegenthaler $/td£ $td£ 36 $/td£  $td£ 0.8% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Müller $/td£ $td£ 34 $/td£  $td£ 0.76% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Gerber $/td£ $td£ 32 $/td£  $td£ 0.72% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Kummer $/td£ $td£ 32 $/td£  $td£ 0.72% $/td£ $/tr£¢ $/table£"
"282",553,"Wiggiswil",7,6.67,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Wittwer $/td£ $td£ 7 $/td£  $td£ 6.67% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Gygax $/td£ $td£ 5 $/td£  $td£ 4.76% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Mumenthaler $/td£ $td£ 5 $/td£  $td£ 4.76% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Rubi $/td£ $td£ 5 $/td£  $td£ 4.76% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Baumberger $/td£ $td£ 4 $/td£  $td£ 3.81% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Hofer $/td£ $td£ 4 $/td£  $td£ 3.81% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Köhli $/td£ $td£ 4 $/td£  $td£ 3.81% $/td£ $/tr£§ 
$tr£ $td£ 5. $/td£ $td£ Steffen $/td£ $td£ 4 $/td£  $td£ 3.81% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Stryffeler $/td£ $td£ 4 $/td£  $td£ 3.81% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Utiger $/td£ $td£ 4 $/td£  $td£ 3.81% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Wüthrich $/td£ $td£ 4 $/td£  $td£ 3.81% $/td£ $/tr£¢ $/table£"
"283",554,"Wiler bei Utzenstorf",13,1.25,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Ajeti $/td£ $td£ 13 $/td£  $td£ 1.25% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Schneider $/td£ $td£ 13 $/td£  $td£ 1.25% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Steiner $/td£ $td£ 13 $/td£  $td£ 1.25% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Jordi $/td£ $td£ 12 $/td£  $td£ 1.16% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Kämpfer $/td£ $td£ 12 $/td£  $td£ 1.16% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schütz $/td£ $td£ 12 $/td£  $td£ 1.16% $/td£ $/tr£¢ $/table£"
"284",556,"Zielebach",12,3.63,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Aebi $/td£ $td£ 12 $/td£  $td£ 3.63% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Jäggi $/td£ $td£ 8 $/td£  $td£ 2.42% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Neukomm $/td£ $td£ 8 $/td£  $td£ 2.42% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Steiner $/td£ $td£ 8 $/td£  $td£ 2.42% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Jörg $/td£ $td£ 6 $/td£  $td£ 1.81% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Kaufmann $/td£ $td£ 6 $/td£  $td£ 1.81% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Schneider $/td£ $td£ 6 $/td£  $td£ 1.81% $/td£ $/tr£
¢ $/table£"
"285",557,"Zuzwil BE",11,2.03,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Rufer $/td£ $td£ 11 $/td£  $td£ 2.03% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Häni $/td£ $td£ 10 $/td£  $td£ 1.85% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schneider $/td£ $td£ 10 $/td£  $td£ 1.85% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Gnehm $/td£ $td£ 8 $/td£  $td£ 1.48% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Hofer $/td£ $td£ 8 $/td£  $td£ 1.48% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Iseli $/td£ $td£ 8 $/td£  $td£ 1.48% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Stacher $/td£ $td£ 8 $/td£  $td£ 1.48% $/td£ $/tr£§ 
$tr£ $td£ 4. $/td£ $td£ Tüscher $/td£ $td£ 8 $/td£  $td£ 1.48% $/td£ $/tr£¢ $/table£"
"286",561,"Adelboden",167,4.91,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Allenbach $/td£ $td£ 167 $/td£  $td£ 4.91% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schranz $/td£ $td£ 162 $/td£  $td£ 4.77% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Hari $/td£ $td£ 159 $/td£  $td£ 4.68% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Germann $/td£ $td£ 130 $/td£  $td£ 3.82% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Oester $/td£ $td£ 124 $/td£  $td£ 3.65% $/td£ $/tr£¢ $/table£"
"287",562,"Aeschi bei Spiez",36,1.58,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ von Känel $/td£ $td£ 36 $/td£  $td£ 1.58% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Luginbühl $/td£ $td£ 34 $/td£  $td£ 1.49% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Schmid $/td£ $td£ 27 $/td£  $td£ 1.18% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Berger $/td£ $td£ 25 $/td£  $td£ 1.1% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Lengacher $/td£ $td£ 21 $/td£  $td£ 0.92% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Locher $/td£ $td£ 21 $/td£  $td£ 0.92% $/td£ $/tr£¢ $/table£"
"288",563,"Frutigen",383,5.46,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Schmid $/td£ $td£ 383 $/td£  $td£ 5.46% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Trachsel $/td£ $td£ 156 $/td£  $td£ 2.22% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Wäfler $/td£ $td£ 155 $/td£  $td£ 2.21% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Zurbrügg $/td£ $td£ 149 $/td£  $td£ 2.12% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Steiner $/td£ $td£ 138 $/td£  $td£ 1.97% $/td£ $/tr£¢ $/table£"
"289",564,"Kandergrund",47,5.72,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Wandfluh $/td£ $td£ 47 $/td£  $td£ 5.72% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schmid $/td£ $td£ 36 $/td£  $td£ 4.38% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Stoller $/td£ $td£ 35 $/td£  $td£ 4.26% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Ryter $/td£ $td£ 33 $/td£  $td£ 4.02% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Zurbrügg $/td£ $td£ 32 $/td£  $td£ 3.9% $/td£ $/tr£¢ $/table£"
"290",565,"Kandersteg",39,3.01,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Grossen $/td£ $td£ 39 $/td£  $td£ 3.01% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Künzi $/td£ $td£ 30 $/td£  $td£ 2.31% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Hari $/td£ $td£ 29 $/td£  $td£ 2.24% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Holzer $/td£ $td£ 26 $/td£  $td£ 2% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Ogi $/td£ $td£ 24 $/td£  $td£ 1.85% $/td£ $/tr£¢ $/table£"
"291",566,"Krattigen",52,4.56,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Luginbühl $/td£ $td£ 52 $/td£  $td£ 4.56% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Kummer $/td£ $td£ 17 $/td£  $td£ 1.49% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Heim $/td£ $td£ 16 $/td£  $td£ 1.4% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Reichen $/td£ $td£ 16 $/td£  $td£ 1.4% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Brahimaj $/td£ $td£ 14 $/td£  $td£ 1.23% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Rubin $/td£ $td£ 14 $/td£  $td£ 1.23% $/td£ $/tr£¢ $/table£"
"292",567,"Reichenbach im Kandertal",195,5.28,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ von Känel $/td£ $td£ 195 $/td£  $td£ 5.28% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Zurbrügg $/td£ $td£ 135 $/td£  $td£ 3.65% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Schmid $/td£ $td£ 110 $/td£  $td£ 2.98% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Rubin $/td£ $td£ 95 $/td£  $td£ 2.57% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Bettschen $/td£ $td£ 75 $/td£  $td£ 2.03% $/td£ $/tr£¢ $/table£"
"293",571,"Beatenberg",64,5.42,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Gafner $/td£ $td£ 64 $/td£  $td£ 5.42% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Grossniklaus $/td£ $td£ 35 $/td£  $td£ 2.96% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Schmocker $/td£ $td£ 25 $/td£  $td£ 2.12% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Jaun $/td£ $td£ 20 $/td£  $td£ 1.69% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Bieri $/td£ $td£ 13 $/td£  $td£ 1.1% $/td£ $/tr£¢ $/table£"
"294",572,"Bönigen",113,4.4,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Michel $/td£ $td£ 113 $/td£  $td£ 4.4% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Seiler $/td£ $td£ 91 $/td£  $td£ 3.54% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Brunner $/td£ $td£ 47 $/td£  $td£ 1.83% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Wyss $/td£ $td£ 39 $/td£  $td£ 1.52% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Mühlemann $/td£ $td£ 35 $/td£  $td£ 1.36% $/td£ $/tr£¢ $/table£"
"295",573,"Brienz BE",110,3.41,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Flück $/td£ $td£ 110 $/td£  $td£ 3.41% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Michel $/td£ $td£ 98 $/td£  $td£ 3.04% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Thöni $/td£ $td£ 90 $/td£  $td£ 2.79% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Fischer $/td£ $td£ 71 $/td£  $td£ 2.2% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Fuchs $/td£ $td£ 69 $/td£  $td£ 2.14% $/td£ $/tr£¢ $/table£"
